Date : 2026-06-15 13:52:14
Directory : /home/morit/Studium/Master/Forschungsprojekt/nextpnr
Total : 1369 files,  325095 codes, 67140 comments, 57768 blanks, all 450003 lines

Languages
+-----------------------------+------------+------------+------------+------------+------------+
| language                    | files      | code       | comment    | blank      | total      |
+-----------------------------+------------+------------+------------+------------+------------+
| C++                         |        750 |    244,339 |     61,553 |     40,565 |    346,457 |
| Python                      |        139 |     22,224 |      3,821 |      4,860 |     30,905 |
| Verilog                     |         76 |     15,464 |        351 |      1,422 |     17,237 |
| Markdown                    |         71 |     13,758 |         11 |      4,688 |     18,457 |
| CMake                       |        131 |      9,900 |          0 |      1,641 |     11,541 |
| reStructuredText            |         32 |      7,867 |        664 |      3,190 |     11,721 |
| XML                         |         19 |      3,133 |          5 |          7 |      3,145 |
| YAML                        |         28 |      2,409 |        207 |        427 |      3,043 |
| C                           |          3 |      1,687 |        194 |        108 |      1,989 |
| Rust                        |         38 |      1,492 |         32 |        256 |      1,780 |
| Objective-C++               |          5 |        962 |        111 |        230 |      1,303 |
| Shell Script                |         38 |        733 |        121 |        142 |        996 |
| System Verilog              |          5 |        434 |         26 |         87 |        547 |
| SCSS                        |          2 |        165 |          3 |         39 |        207 |
| JSON                        |          1 |         91 |          0 |          1 |         92 |
| Batch                       |         12 |         80 |         20 |         31 |        131 |
| Xilinx Design Constraints   |          2 |         73 |         16 |         15 |        104 |
| HTML                        |          1 |         57 |          0 |          2 |         59 |
| VHDL                        |          2 |         44 |          1 |         13 |         58 |
| Tcl                         |          2 |         41 |          4 |          6 |         51 |
| Properties                  |          1 |         39 |          0 |          5 |         44 |
| GLSL                        |          2 |         32 |          0 |          9 |         41 |
| Objective-C                 |          2 |         23 |          0 |         14 |         37 |
| Ini                         |          3 |         22 |          0 |          3 |         25 |
| pip requirements            |          2 |         21 |          0 |          2 |         23 |
| PostCSS                     |          1 |          3 |          0 |          1 |          4 |
| Synopsys Design Constraints |          1 |          2 |          0 |          4 |          6 |
+-----------------------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                   | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                      |      1,369 |    325,095 |     67,140 |     57,768 |    450,003 |
| . (Files)                                                                                                                                              |          3 |        632 |          3 |        174 |        809 |
| .github                                                                                                                                                |         10 |        295 |         18 |         63 |        376 |
| .github/ci                                                                                                                                             |          9 |        213 |         17 |         49 |        279 |
| .github/workflows                                                                                                                                      |          1 |         82 |          1 |         14 |         97 |
| 3rdparty                                                                                                                                               |        820 |    193,181 |     54,391 |     40,425 |    287,997 |
| 3rdparty/QtPropertyBrowser                                                                                                                             |         50 |     19,838 |     11,107 |      4,055 |     35,000 |
| 3rdparty/QtPropertyBrowser (Files)                                                                                                                     |          2 |          8 |          0 |          4 |         12 |
| 3rdparty/QtPropertyBrowser/cmake                                                                                                                       |          5 |        151 |          0 |         33 |        184 |
| 3rdparty/QtPropertyBrowser/examples                                                                                                                    |         25 |      8,535 |      5,986 |      1,850 |     16,371 |
| 3rdparty/QtPropertyBrowser/examples (Files)                                                                                                            |          1 |         12 |          0 |          4 |         16 |
| 3rdparty/QtPropertyBrowser/examples/canvas_typed                                                                                                       |          6 |      3,740 |      2,853 |        808 |      7,401 |
| 3rdparty/QtPropertyBrowser/examples/canvas_variant                                                                                                     |          6 |      3,660 |      2,853 |        795 |      7,308 |
| 3rdparty/QtPropertyBrowser/examples/decoration                                                                                                         |          2 |        233 |         41 |         55 |        329 |
| 3rdparty/QtPropertyBrowser/examples/demo                                                                                                               |          2 |        158 |         38 |         36 |        232 |
| 3rdparty/QtPropertyBrowser/examples/extension                                                                                                          |          2 |        178 |         38 |         38 |        254 |
| 3rdparty/QtPropertyBrowser/examples/object_controller                                                                                                  |          4 |        438 |        125 |         78 |        641 |
| 3rdparty/QtPropertyBrowser/examples/simple                                                                                                             |          2 |        116 |         38 |         36 |        190 |
| 3rdparty/QtPropertyBrowser/src                                                                                                                         |         18 |     11,144 |      5,121 |      2,168 |     18,433 |
| 3rdparty/corrosion                                                                                                                                     |        127 |      6,500 |         39 |      1,109 |      7,648 |
| 3rdparty/corrosion (Files)                                                                                                                             |          3 |        484 |          0 |        159 |        643 |
| 3rdparty/corrosion/.github                                                                                                                             |          7 |        770 |         25 |         34 |        829 |
| 3rdparty/corrosion/.github (Files)                                                                                                                     |          1 |          1 |          0 |          1 |          2 |
| 3rdparty/corrosion/.github/ISSUE_TEMPLATE                                                                                                              |          1 |         77 |          0 |          5 |         82 |
| 3rdparty/corrosion/.github/actions                                                                                                                     |          1 |        179 |          4 |          2 |        185 |
| 3rdparty/corrosion/.github/actions/setup_test                                                                                                          |          1 |        179 |          4 |          2 |        185 |
| 3rdparty/corrosion/.github/scripts                                                                                                                     |          1 |         54 |          1 |          5 |         60 |
| 3rdparty/corrosion/.github/workflows                                                                                                                   |          3 |        459 |         20 |         21 |        500 |
| 3rdparty/corrosion/cmake                                                                                                                               |          3 |      2,696 |          0 |        363 |      3,059 |
| 3rdparty/corrosion/doc                                                                                                                                 |          8 |        546 |          0 |        164 |        710 |
| 3rdparty/corrosion/doc/src                                                                                                                             |          8 |        546 |          0 |        164 |        710 |
| 3rdparty/corrosion/generator                                                                                                                           |          4 |        492 |          8 |         49 |        549 |
| 3rdparty/corrosion/generator (Files)                                                                                                                   |          1 |         57 |          0 |          8 |         65 |
| 3rdparty/corrosion/generator/src                                                                                                                       |          3 |        435 |          8 |         41 |        484 |
| 3rdparty/corrosion/generator/src (Files)                                                                                                               |          1 |         80 |          2 |         14 |         96 |
| 3rdparty/corrosion/generator/src/subcommands                                                                                                           |          2 |        355 |          6 |         27 |        388 |
| 3rdparty/corrosion/generator/src/subcommands (Files)                                                                                                   |          1 |        145 |          3 |         13 |        161 |
| 3rdparty/corrosion/generator/src/subcommands/gen_cmake                                                                                                 |          1 |        210 |          3 |         14 |        227 |
| 3rdparty/corrosion/test                                                                                                                                |        102 |      1,512 |          6 |        340 |      1,858 |
| 3rdparty/corrosion/test (Files)                                                                                                                        |          3 |        275 |          0 |         31 |        306 |
| 3rdparty/corrosion/test/cargo_flags                                                                                                                    |          4 |         31 |          0 |         12 |         43 |
| 3rdparty/corrosion/test/cargo_flags (Files)                                                                                                            |          1 |          2 |          0 |          2 |          4 |
| 3rdparty/corrosion/test/cargo_flags/cargo_flags                                                                                                        |          3 |         29 |          0 |         10 |         39 |
| 3rdparty/corrosion/test/cargo_flags/cargo_flags (Files)                                                                                                |          2 |         17 |          0 |          7 |         24 |
| 3rdparty/corrosion/test/cargo_flags/cargo_flags/rust                                                                                                   |          1 |         12 |          0 |          3 |         15 |
| 3rdparty/corrosion/test/cargo_flags/cargo_flags/rust/src                                                                                               |          1 |         12 |          0 |          3 |         15 |
| 3rdparty/corrosion/test/cbindgen                                                                                                                       |          4 |         58 |          2 |         12 |         72 |
| 3rdparty/corrosion/test/cbindgen (Files)                                                                                                               |          1 |          8 |          0 |          2 |         10 |
| 3rdparty/corrosion/test/cbindgen/rust2cpp                                                                                                              |          3 |         50 |          2 |         10 |         62 |
| 3rdparty/corrosion/test/cbindgen/rust2cpp (Files)                                                                                                      |          2 |         26 |          0 |          5 |         31 |
| 3rdparty/corrosion/test/cbindgen/rust2cpp/rust                                                                                                         |          1 |         24 |          2 |          5 |         31 |
| 3rdparty/corrosion/test/cbindgen/rust2cpp/rust/src                                                                                                     |          1 |         24 |          2 |          5 |         31 |
| 3rdparty/corrosion/test/cpp2rust                                                                                                                       |          7 |         78 |          1 |         24 |        103 |
| 3rdparty/corrosion/test/cpp2rust (Files)                                                                                                               |          1 |          4 |          0 |          2 |          6 |
| 3rdparty/corrosion/test/cpp2rust/cpp2rust                                                                                                              |          6 |         74 |          1 |         22 |         97 |
